candidate_idx,canonical_id,n_items_used,mean_score
0,e2_g1,3,0.1433333333
0,g1_h4,3,0.1433333333
0,s1_e1,3,0.2266666667
0,s1_e4,3,0.2266666667
0,s1_e5,3,0.2266666667
0,s1_g4,3,0.1433333333
0,s2_e1,3,0.2266666667
0,s2_e2,3,0.2266666667
0,s4_e2,3,0.2266666667
1,e2_g1,3,0.1433333333
1,g1_h4,3,0.1433333333
1,s1_e1,3,0.2266666667
1,s1_e4,3,0.2266666667
1,s1_e5,3,0.2266666667
1,s1_g4,3,0.1433333333
1,s2_e1,3,0.2266666667
1,s2_e2,3,0.2266666667
1,s4_e2,3,0.2266666667
2,e2_g1,3,0.3433333333
2,g1_h4,3,0.1433333333
2,s1_e1,3,0.2266666667
2,s1_e4,3,0.3100000000
2,s1_e5,3,0.2266666667
2,s1_g4,3,0.5400000000
2,s2_e1,3,0.3100000000
2,s2_e2,3,0.3100000000
2,s4_e2,3,0.3100000000
3,e2_g1,3,0.3433333333
3,g1_h4,3,0.1433333333
3,s1_e1,3,0.2266666667
3,s1_e4,3,0.3100000000
3,s1_e5,3,0.2266666667
3,s1_g4,3,0.5400000000
3,s2_e1,3,0.3100000000
3,s2_e2,3,0.3100000000
3,s4_e2,3,0.3100000000
4,e2_g1,3,0.3433333333
4,g1_h4,3,0.1433333333
4,s1_e1,3,0.2266666667
4,s1_e4,3,0.3100000000
4,s1_e5,3,0.2266666667
4,s1_g4,3,0.5400000000
4,s2_e1,3,0.3100000000
4,s2_e2,3,0.3100000000
4,s4_e2,3,0.3100000000
5,e2_g1,3,0.4266666667
5,g1_h4,3,0.1433333333
5,s1_e1,3,0.2266666667
5,s1_e4,3,0.2266666667
5,s1_e5,3,0.2266666667
5,s1_g4,3,0.5400000000
5,s2_e1,3,0.3100000000
5,s2_e2,3,0.2266666667
5,s4_e2,3,0.3100000000
6,e2_g1,3,0.3433333333
6,g1_h4,3,0.1433333333
6,s1_e1,3,0.2266666667
6,s1_e4,3,0.3100000000
6,s1_e5,3,0.2266666667
6,s1_g4,3,0.5400000000
6,s2_e1,3,0.3100000000
6,s2_e2,3,0.3100000000
6,s4_e2,3,0.3100000000
7,e2_g1,3,0.1433333333
7,g1_h4,3,0.2266666667
7,s1_e1,3,0.3100000000
7,s1_e4,3,0.2266666667
7,s1_e5,3,0.2266666667
7,s1_g4,3,0.1433333333
7,s2_e1,3,0.3100000000
7,s2_e2,3,0.6566666667
7,s4_e2,3,0.2266666667
8,e2_g1,3,0.3433333333
8,g1_h4,3,0.1433333333
8,s1_e1,3,0.2266666667
8,s1_e4,3,0.3100000000
8,s1_e5,3,0.2266666667
8,s1_g4,3,0.5400000000
8,s2_e1,3,0.3100000000
8,s2_e2,3,0.3100000000
8,s4_e2,3,0.3100000000
9,e2_g1,3,0.3433333333
9,g1_h4,3,0.1433333333
9,s1_e1,3,0.2266666667
9,s1_e4,3,0.2266666667
9,s1_e5,3,0.1433333333
9,s1_g4,3,0.4566666667
9,s2_e1,3,0.5400000000
9,s2_e2,3,0.4566666667
9,s4_e2,3,0.2266666667
10,e2_g1,3,0.3433333333
10,g1_h4,3,0.1433333333
10,s1_e1,3,0.2266666667
10,s1_e4,3,0.2266666667
10,s1_e5,3,0.1433333333
10,s1_g4,3,0.4566666667
10,s2_e1,3,0.5400000000
10,s2_e2,3,0.4566666667
10,s4_e2,3,0.2266666667
